"keyEnglish","keyLexeme","strMeaning","strBefore","strAfter","strComment","keyCommentPos","keyCommentFace","keyBeforeFace","keyAfterFace","keyVerbalMode","keyNumber","keyGender","keyForm"
144,84,"as",,,,0,0,0,0,0,0,0,0
145,84,"how",,,,0,0,0,0,0,0,0,0
146,85,"God",,,,0,0,0,0,0,0,0,0
147,86,"stag",,,,0,0,0,0,0,0,0,0
148,87,"tree",,,,0,0,0,0,0,0,0,0
149,88,"whence?",,,,0,0,0,0,0,0,0,0
150,89,"daytime",,,,0,0,0,0,0,0,0,0
151,90,"yes",,,,0,0,0,0,0,0,0,0
152,90,"so",,,,0,0,0,0,0,0,0,0
153,90,"truly",,,,0,0,0,0,0,0,0,0
154,90,"yea",,,,0,0,0,0,0,0,0,0
155,91,"who",,,,0,0,0,0,0,0,0,0
156,91,"what",,,,0,0,0,0,0,0,0,0
157,91,"which",,,,0,0,0,0,0,0,0,0
158,,"who","he",,"(w/ *D*)",0,0,0,0,0,0,0,0
159,92,"Jason",,,,0,0,0,0,0,0,0,0
160,93,"Isaac",,,,0,0,0,0,0,0,0,0
161,94,"Issachar",,,,0,0,0,0,0,0,0,0
162,95,"Israel",,,,0,0,0,0,0,0,0,0
163,96,"Israelite",,,,0,0,0,0,0,0,0,0
164,97,"vain","in",,,0,0,0,0,0,0,0,0
165,97,"cause","without",,,0,0,0,0,0,0,0,0
166,98,"Iconium",,,,0,0,0,0,0,0,0,0
167,99,"Hierapolis",,,,0,0,0,0,0,0,0,0
168,100,"Jericho",,,,0,0,0,0,0,0,0,0
169,101,"Jesse",,,,0,0,0,0,0,0,0,0
170,102,"is",,,,0,0,0,0,0,0,0,0
171,102,"are",,,,0,0,0,0,0,0,0,0
172,,"some...others",,,"(*A;T D__OA;T*)",0,0,0,0,0,0,0,0
173,103,"substance",,,,0,0,0,0,0,0,0,0
1,1,"air",,,,0,0,0,0,0,0,0,0
2,2,"father",,,,0,0,0,0,0,0,0,0
3,3,"family",,,,0,0,0,0,0,0,0,0
4,3,"fatherhood",,,,0,0,0,0,0,0,0,0
5,3,"parentage",,,,0,0,0,0,0,0,0,0
6,4,"fruit",,,,0,0,0,0,0,0,0,0
7,5,"perish",,,,0,0,0,0,0,0,0,0
8,5,"destroy",,,,0,0,0,0,0,0,0,5
9,5,"lose",,,,0,0,0,0,0,0,0,5
10,6,"loss",,,,0,0,0,0,0,0,0,0
11,6,"perdition",,,,0,0,0,0,0,0,0,0
12,6,"waste",,,,0,0,0,0,0,0,0,0
13,7,"perished",,,,0,0,0,0,0,0,0,0
14,7,"lost",,,,0,0,0,0,0,0,0,0
15,,"perishing",,,,0,0,0,0,0,0,0,0
16,8,"pipe",,,,0,0,0,0,0,0,0,0
17,8,"flute",,,,0,0,0,0,0,0,0,0
18,9,"Abijah",,,"(son of Rehoboam)",1,0,0,0,0,0,0,0
19,10,"Abijah",,,"(founder of a course of priests)",1,0,0,0,0,0,0,0
20,11,"Abiud",,,,0,0,0,0,0,0,0,0
21,12,"Abilene",,,,0,0,0,0,0,0,0,0
22,13,"Abiathar",,,,0,0,0,0,0,0,0,0
23,14,"mourner",,,,0,0,0,0,0,0,0,0
24,15,"grieve",,,,0,0,0,0,0,0,0,2
25,15,"mourn",,,,0,0,0,0,0,0,0,2
26,16,"mourning",,,,0,0,0,0,0,0,0,0
27,16,"grief",,,,0,0,0,0,0,0,0,0
28,16,"sadness",,,,0,0,0,0,0,0,0,0
29,17,"stone",,,,0,0,0,0,0,0,0,0
30,18,"Abraham",,,,0,0,0,0,0,0,0,0
31,,"Abram",,,,0,0,0,0,0,0,0,0
32,19,"Agabus",,,,0,0,0,0,0,0,0,0
33,20,"contest",,,,0,0,0,0,0,0,0,0
34,20,"conflict",,,,0,0,0,0,0,0,0,0
174,103,"essence",,,,0,0,0,0,0,0,0,0
175,104,"Achaia",,,,0,0,0,0,0,0,0,0
176,105,"Achaicus",,,,0,0,0,0,0,0,0,0
177,106,"viper",,,,0,0,0,0,0,0,0,0
178,107,"like as",,,,0,0,0,0,0,0,0,0
179,108,"as",,,,0,0,0,0,0,0,0,0
180,108,"just as",,,,0,0,0,0,0,0,0,0
181,109,"as one",,,,0,0,0,0,0,0,0,0
182,109,"together",,,,0,0,0,0,0,0,0,0
183,110,"Achim",,,,0,0,0,0,0,0,0,0
184,111,"gluttonous",,,,0,0,0,0,0,0,0,0
185,112,"eat",,,,0,0,0,0,0,0,0,0
186,112,"consume",,,,0,0,0,0,0,0,0,0
187,112,"accuse",,,"w/ &XaR/oA&",0,0,0,0,0,0,0,0
188,112,"feed",,,,0,0,0,0,0,0,0,5
189,113,"accuser",,,,0,0,0,0,0,0,0,0
190,113,"calumniator",,,,0,0,0,0,0,0,0,0
191,3470,"stade",,"(measure of length - 192",,0,0,0,0,0,0,0,0
192,115,"weevil",,,,0,0,0,0,0,0,0,0
193,116,"food",,,,0,0,0,0,0,0,0,0
194,117,"accusation",,,,0,0,0,0,0,0,0,0
195,118,"food",,,,0,0,0,0,0,0,0,0
196,119,"crowd",,,,0,0,0,0,0,0,0,0
197,119,"multitude",,,,0,0,0,0,0,0,0,0
198,120,"black",,,,0,0,0,0,0,0,0,0
199,121,"black","make",,,0,0,0,0,0,0,0,0
200,122,"guest",,,,0,0,0,0,0,0,0,0
201,122,"stranger",,,,0,0,0,0,0,0,0,0
202,123,"sedulously",,,,0,0,0,0,0,0,0,0
203,123,"diligently",,,,0,0,0,0,0,0,0,0
204,124,"care","take",,,0,0,0,0,0,0,0,0
205,124,"careful",,,,0,0,0,0,0,0,0,0
206,125,"ploughman",,,,0,0,0,0,0,0,0,0
207,125,"husbandman",,,,0,0,0,0,0,0,0,0
208,126,"anger",,,,0,0,0,0,0,0,0,0
209,126,"enmity",,,,0,0,0,0,0,0,0,0
210,127,"but",,,,0,0,0,0,0,0,0,0
211,127,"but rather",,,,0,0,0,0,0,0,0,0
212,128,"howl",,,,0,0,0,0,0,0,0,0
213,128,"lament aloud",,,,0,0,0,0,0,0,0,0
214,128,"wail",,,,0,0,0,0,0,0,0,0
215,,"yell","a",,,0,0,0,0,0,0,0,0
216,129,"wail",,,,0,0,0,0,0,0,0,0
217,129,"lamentation","cry of",,,0,0,0,0,0,0,0,0
218,130,"God",,,,0,0,0,0,0,0,0,0
219,130,"god","a",,,0,0,0,0,0,0,0,0
220,131,"Godhead",,,,0,0,0,0,0,0,0,0
221,131,"divinity",,,,0,0,0,0,0,0,0,0
222,132,"divine",,,,0,0,0,0,0,0,0,0
223,133,"goddess",,,,0,0,0,0,0,0,0,0
224,134,"if",,,,0,0,0,0,0,0,0,0
225,135,"Elymas",,,,0,0,0,0,0,0,0,0
226,136,"Olympas",,,,0,0,0,0,0,0,0,0
227,137,"Illyricum",,,,0,0,0,0,0,0,0,0
228,138,"Elijah",,,,0,0,0,0,0,0,0,0
229,139,"Eliud",,,,0,0,0,0,0,0,0,0
230,140,"Eleazar",,,,0,0,0,0,0,0,0,0
231,141,"Eliezer",,,,0,0,0,0,0,0,0,0
232,142,"Eliakim",,,,0,0,0,0,0,0,0,0
233,143,"Elizabeth",,,,0,0,0,0,0,0,0,0
234,144,"Elisha",,"(Elisaeus)",,0,0,0,0,0,0,0,0
235,145,"Alexander",,,,0,0,0,0,0,0,0,0
236,146,"Alexandria",,"(in Egypt)",,0,0,0,0,0,0,0,0
237,147,"Alexandrian",,,,0,0,0,0,0,0,0,0
238,148,"Elmadam",,,,0,0,0,0,0,0,0,0
239,149,"Alans",,"(Elamites)",,0,0,0,0,0,0,0,0
240,150,"Beginning","the",,,0,0,0,0,0,0,0,0
241,150,"Olaph","the letter",,,0,0,0,0,0,0,0,0
242,151,"thousand",,,,0,0,0,0,0,0,0,0
243,152,"ship",,,,0,0,0,0,0,0,0,0
244,152,"boat",,,,0,0,0,0,0,0,0,0
245,153,"mariner",,,,0,0,0,0,0,0,0,0
246,154,"oppression",,,,0,0,0,0,0,0,0,0
247,154,"affliction",,,,0,0,0,0,0,0,0,0
248,154,"tribulation",,,,0,0,0,0,0,0,0,0
249,155,"oppressor",,,,0,0,0,0,0,0,0,0
250,156,"urgent",,,,0,0,0,0,0,0,0,0
251,156,"narrow",,,,0,0,0,0,0,0,0,0
252,156,"strait",,,,0,0,0,0,0,0,0,0
253,156,"afflicted",,,,0,0,0,0,0,0,0,0
254,156,"requisite",,,,0,0,0,0,0,0,0,0
255,157,"urge",,,,0,0,0,0,0,0,0,0
256,157,"constrain",,,,0,0,0,0,0,0,0,0
257,,"besiege",,,,0,0,0,0,0,0,0,0
258,158,"people",,,,0,0,0,0,0,0,0,0
259,158,"nation",,,,0,0,0,0,0,0,0,0
260,159,"mother",,,,0,0,0,0,0,0,0,0
261,160,"Amon",,,,0,0,0,0,0,0,0,0
262,161,"amethyst",,,,0,0,0,0,0,0,0,0
263,162,"Amen",,,,0,0,0,0,0,0,0,0
264,162,"verily",,,,0,0,0,0,0,0,0,0
265,,"steadfast",,,,0,0,0,0,0,0,0,0
266,,"sure",,,,0,0,0,0,0,0,0,0
267,163,"constant",,,,0,0,0,0,0,0,0,0
268,164,"assiduously",,,,0,0,0,0,0,0,0,0
269,164,"constantly",,,,0,0,0,0,0,0,0,0
270,,"constant","be",,,0,0,1,0,0,0,0,2
271,,"firm","be",,,0,0,1,0,0,0,0,2
272,165,"believe",,,,0,0,0,0,0,0,0,0
273,165,"trust",,"in",,0,0,0,0,0,0,0,0
274,166,"faith",,,,0,0,0,0,0,0,0,0
275,166,"belief",,,,0,0,0,0,0,0,0,0
276,167,"eunuch",,,,0,0,0,0,0,0,0,0
277,168,"believer",,,,0,0,0,0,0,0,0,0
278,168,"believing",,,,0,0,0,0,0,0,0,0
279,169,"Amphipolis",,,,0,0,0,0,0,0,0,0
280,170,"Amplias or Ampliatus",,,,0,0,0,0,0,0,0,0
281,171,"say",,,,0,0,0,0,0,0,0,0
282,171,"speak",,,,0,0,0,0,0,0,0,0
283,,"think",,,,0,0,0,0,0,0,0,0
284,171,"announce",,,,0,0,0,0,0,0,0,0
285,,"command",,,,0,0,0,0,0,0,0,0
286,171,"affirm",,,,0,0,0,0,0,0,0,0
287,,"foretell",,,,0,0,0,0,0,0,0,0
288,172,"lamb",,,,0,0,0,0,0,0,0,0
289,172,"sheep","young",,,0,0,0,0,0,0,0,0
290,173,"cubit",,,,0,0,0,0,0,0,0,0
291,174,"handmaid",,,,0,0,0,0,0,0,0,0
292,174,"servant","female bond-",,,0,0,0,0,0,0,0,0
293,175,"when?",,,,0,0,0,0,0,0,0,0
294,176,"if",,,,0,0,0,0,0,0,0,0
295,177,"but if",,,,0,0,0,0,0,0,0,0
296,178,"I",,,,0,0,0,0,0,0,0,0
297,179,"Onesiphorus",,,,0,0,0,0,0,0,0,0
298,180,"Andrew",,,,0,0,0,0,0,0,0,0
299,181,"Andronicus",,,,0,0,0,0,0,0,0,0
300,182,"Enosh",,,,0,0,0,0,0,0,0,0
301,183,"groan",,,,0,0,0,0,0,0,0,4
302,183,"sigh deeply",,,,0,0,0,0,0,0,0,4
303,183,"murmur",,,,0,0,0,0,0,0,0,4
304,184,"groaning",,,,0,0,0,0,0,0,0,0
305,185,"Antioch of Syria",,,,0,0,0,0,0,0,0,0
306,186,"Antiochene",,,,0,0,0,0,0,0,0,0
307,187,"Antioch of Pisidia",,,,0,0,0,0,0,0,0,0
308,188,"antichrist",,,,0,0,0,0,0,0,0,0
309,189,"Antipatris",,,,0,0,0,0,0,0,0,0
310,190,"Aeneas",,,,0,0,0,0,0,0,0,0
311,191,"necessity",,,,0,0,0,0,0,0,0,0
312,192,"anxiety",,,,0,0,0,0,0,0,0,0
313,192,"distress",,,,0,0,0,0,0,0,0,0
314,193,"compel",,,,0,0,0,0,0,0,0,0
315,194,"Onesimus",,,,0,0,0,0,0,0,0,0
316,195,"man",,,,0,0,0,0,0,0,0,0
317,195,"mankind",,,,0,0,0,0,0,0,0,0
318,196,"humanity",,,,0,0,0,0,0,0,0,0
319,196,"mankind",,,,0,0,0,0,0,0,0,0
320,197,"thou",,,,0,0,0,0,0,0,0,0
321,198,"proconsul",,,,0,0,0,0,0,0,0,0
322,199,"woman",,,,0,0,0,0,0,0,0,0
323,199,"wife",,,,0,0,0,0,0,0,0,0
324,200,"Asa",,,,0,0,0,0,0,0,0,0
325,201,"pillows",,,,0,0,0,0,0,0,0,0
326,202,"glutton",,,,0,0,0,0,0,0,0,0
327,202,"prodigal",,,,0,0,0,0,0,0,0,0
328,,"surfeiting",,,,0,0,0,0,0,0,0,0
329,203,"luxury",,,,0,0,0,0,0,0,0,0
330,203,"profligacy",,,,0,0,0,0,0,0,0,0
331,204,"Asyncritus",,,,0,0,0,0,0,0,0,0
332,205,"stadium",,,,0,0,0,0,0,0,0,0
333,206,"portico",,,,0,0,0,0,0,0,0,0
334,206,"arcade",,,,0,0,0,0,0,0,0,0
335,207,"Stoics",,,,0,0,0,0,0,0,0,0
336,208,"element",,,,0,0,0,0,0,0,0,0
337,208,"body","heavenly",,,0,0,0,0,0,0,0,0
338,209,"stomach",,,,0,0,0,0,0,0,0,0
339,210,"Stachys",,,,0,0,0,0,0,0,0,0
340,211,"robe",,,,0,0,0,0,0,0,0,0
341,237,"bundle",,,,0,0,0,0,0,0,0,0
342,213,"Stephanas",,,,0,0,0,0,0,0,0,0
343,214,"Stephen",,,,0,0,0,0,0,0,0,0
344,215,"army",,,,0,0,0,0,0,0,0,0
345,215,"soldiery",,,,0,0,0,0,0,0,0,0
346,215,"band",,"of troops",,0,0,0,0,0,0,0,0
347,216,"prefect",,,,0,0,0,0,0,0,0,0
348,216,"praetor",,,,0,0,0,0,0,0,0,0
